id,title
31643,"AutoTokenizer: Phi-3 drops spaces when decodes a token at a time"
31642,"return_dict in encodec is always set to True: "
31641,"Using batching with pipeline and transformers"
31640,"change anchor_image_size None for compatibility"
31636,"No module named 'transformers.models.starcoder2'"
31635,"Please reopen issue #30361"
31633,"`convert_wav2vec2_original_pytorch_checkpoint_to_pytorch.py` does not work due to weight norm key"
31630,"The behavior of the tokenizer loaded from GGUF file is incorrect."
31629,"Enhancing SFT Training Efficiency Using Packing and FlashAttention2 with Position IDs"
31628,"Fix runtime error for devices with MPS support"
31627,"Tokenizer discard data that exceed max_length"
31626,"New `save_strategy` option called ""best"" to save when a new best performance is achieved."
31625,"enable low-precision pipeline"
31624,"When max_steps < save_steps with deepspeed zero3 stage"
31623,"Added HHCache class implementing H2O Cache"
31622,"Unable to export Phi-3-vision model to PyTorch exported program"
31592,"Added Turkish README"
31591,"[`Llama`] Conversion: fix and simplify the script!"
31590,"[QoL] Allow dtype str for torch_dtype arg of from_pretrained"
31588,"Incorrect docstring of `get_anyres_image_grid_shape`"
31585,"[Bug Fix] fix qa pipeline tensor to numpy"
31583,"`pip install accelerate` (and similar) error messages should specify min version"
31582,"Multi-GPU inference affects LLM's (Llama2-7b-chat-hf) generation."
31580,"Allow infer_framework_load_model to use the originally specified config."
31579,"[WIP] Add implementation of `_extract_fbank_features_batch` "
31578,"add warning when using gradient_checkpointing with FSDP full shard"
31577,"OOM when loading 300B models with `AutoModelForCausalLM.from_pretrained` and `BitsAndBytesConfig` quantization."
31574,"transformers.fx.symbolic_trace supports inputs_embeds"
31572,"Add language to word timestamps for Whisper"
31571,"RuntimeError: slow_conv2d_forward_mps: input(device='cpu') and weight(device=mps:0') "
31570,"Trainer: To keep unused columns for `compute_metrics`"
31567,"rewoo plan, critique"
31564,"Optimize 1st token for beam_search"
31561,"Add argument to set number of eval steps in Trainer"
31560,"NotImplementedError: Cannot copy out of meta tensor; no data when embedding to meta"
31557,"You can't train a model that has been loaded with `device_map='auto'` in any distributed mode."
31556,"Fixing Tensor Shape/Dimension Mismatch Errors in TimeSeries Transformer for Stock Price Prediction"
31554,"fix HF conversion for older Llama versions"
31552,"Fail to load model without .safetensors file"
31551,"Index out of range when generate using optimum"
31550,"Test loading generation config with safetensor weights"
31549,"Mamba & RecurrentGemma: enable strict signature"
31546,"Add torch_empty_cache_steps to TrainingArguments"
31545,"Problem with the masked language modeling tutorial "
31544,"Nested from_pretrained() gives warnings loading weights - ""copying from a non-meta parameter"""
31541,"handle when from_pretrained_id is a list"
